# Benchmark corpus: the repositories the contract-extraction numbers are
# measured on. One row per repository, tab-separated:
#
#   name<TAB>url<TAB>pattern<TAB>stack
#
# "pattern" is why the repository is in the corpus — the way it declares or
# calls out to its contracts, which is what the extractor either understands
# or does not. Adding a repository is only useful if it brings a pattern the
# corpus does not already have.
#
# Lines starting with # and blank lines are ignored.
nats-server	https://github.com/nats-io/nats-server	messaging-broker	go
kafka	https://github.com/apache/kafka	messaging-broker	java,scala
umbraco	https://github.com/umbraco/Umbraco-CMS	annotation-routing	dotnet
n8n	https://github.com/n8n-io/n8n	custom-http-helper	typescript
microservices-demo	https://github.com/GoogleCloudPlatform/microservices-demo	grpc-polyglot	go,python,java,dotnet,nodejs
robot-shop	https://github.com/instana/robot-shop	polyglot-http-queue	nodejs,java,python,go,php
eShop	https://github.com/dotnet/eShop	annotation-routing	dotnet
spring-petclinic-microservices	https://github.com/spring-petclinic/spring-petclinic-microservices	annotation-routing	java
conductor	https://github.com/Netflix/conductor	custom-registry	java
elasticsearch	https://github.com/elastic/elasticsearch	custom-registry	java
grafana	https://github.com/grafana/grafana	explicit-routing	go,typescript
consul	https://github.com/hashicorp/consul	explicit-routing	go
argo-cd	https://github.com/argoproj/argo-cd	grpc-gateway	go
jellyfin	https://github.com/jellyfin/jellyfin	annotation-routing	dotnet
medusa	https://github.com/medusajs/medusa	orm-file-routing	typescript
airflow	https://github.com/apache/airflow	orm-plugin-registry	python
